TaskID,AltID,Modell,Preis,Material,Akkulaufzeit,Wasserdichtigkeit
1,A1,Smartwatch,199 CHF,Titan,mechanisch mit Selbstaufzieher,30 m
1,A2,Sport,1999 CHF,Stahl,5 Tage,100 m
1,A3,Luxus,899 CHF,Leder,10 Tage,200 m
2,A1,Klassik,599 CHF,Kunststoff,2 Tage,100 m
2,A2,Luxus,349 CHF,Kunststoff,2 Tage,200 m
2,A3,Sport,349 CHF,Stahl,mechanisch mit Selbstaufzieher,30 m
3,A1,Smartwatch,599 CHF,Leder,10 Tage,200 m
3,A2,Klassik,1999 CHF,Titan,5 Tage,100 m
3,A3,Sport,899 CHF,Stahl,mechanisch mit Selbstaufzieher,30 m
4,A1,Klassik,199 CHF,Leder,2 Tage,100 m
4,A2,Smartwatch,199 CHF,Titan,5 Tage,30 m
4,A3,Luxus,899 CHF,Kunststoff,10 Tage,200 m
5,A1,Smartwatch,349 CHF,Titan,10 Tage,100 m
5,A2,Sport,1999 CHF,Leder,5 Tage,200 m
5,A3,Klassik,599 CHF,Stahl,mechanisch mit Selbstaufzieher,30 m
6,A1,Luxus,899 CHF,Kunststoff,2 Tage,30 m
6,A2,Klassik,1999 CHF,Leder,10 Tage,100 m
6,A3,Sport,599 CHF,Kunststoff,2 Tage,200 m
7,A1,Luxus,199 CHF,Stahl,5 Tage,30 m
7,A2,Smartwatch,349 CHF,Titan,mechanisch mit Selbstaufzieher,100 m
7,A3,Smartwatch,199 CHF,Kunststoff,2 Tage,200 m
8,A1,Sport,899 CHF,Titan,10 Tage,100 m
8,A2,Klassik,349 CHF,Leder,5 Tage,200 m
8,A3,Luxus,1999 CHF,Stahl,mechanisch mit Selbstaufzieher,30 m
9,A1,Luxus,599 CHF,Leder,2 Tage,100 m
9,A2,Sport,899 CHF,Stahl,10 Tage,30 m
9,A3,Smartwatch,599 CHF,Titan,5 Tage,200 m
10,A1,Klassik,349 CHF,Kunststoff,mechanisch mit Selbstaufzieher,100 m
10,A2,Klassik,199 CHF,Leder,10 Tage,200 m
10,A3,Luxus,1999 CHF,Kunststoff,mechanisch mit Selbstaufzieher,30 m
11,A1,Smartwatch,199 CHF,Titan,2 Tage,30 m
11,A2,Sport,1999 CHF,Stahl,5 Tage,100 m
11,A3,Sport,599 CHF,Titan,mechanisch mit Selbstaufzieher,200 m
12,A1,Luxus,349 CHF,Kunststoff,5 Tage,200 m
12,A2,Klassik,899 CHF,Leder,2 Tage,100 m
12,A3,Smartwatch,1999 CHF,Stahl,10 Tage,30 m
